Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;2.3203442;0.25555798;0.5055274;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.12726584;NA;NA;1.0636429
Kostrzewa-Nowak & Nowak (2018)b;2.3052562;0.25306545;0.5030561;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.1142508
Kostrzewa-Nowak & Nowak (2020a)a;1.3739054;0.06109753;0.2471791;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.605157;0.91852374;0.4694835;1.81566469;0.8442106
Kostrzewa-Nowak & Nowak (2020a)b;1.8891524;0.08821496;0.2970100;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.417766;0.48624052;4.3488708;0.41052855;0.6834890
Kostrzewa-Nowak & Nowak (2020b)a;1.3045055;0.10948487;0.3308850;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.842822;0.98069074;1.6325562;0.17685879;0.9659981
Kostrzewa-Nowak & Nowak (2020b)b;1.3520034;0.11342795;0.3367907;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.879490;0.87066673;1.3288673;0.01065258;0.9880618
Kostrzewa-Nowak & Nowak (2020b)c;1.4155960;0.11892791;0.3448593;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.179806;0.85450531;1.2807492;0.20684306;0.8332885
Kostrzewa-Nowak & Nowak (2020b)d;1.6603285;0.14245224;0.3774285;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.359880;-0.09212669;1.9905474;0.28138566;1.4016147
Kostrzewa-Nowak & Nowak (2020b)e;3.9593627;0.54619794;0.7390521;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.392561;0.50241031;1.3487117;0.46017493;4.5184455
Kostrzewa-Nowak et al. (2019);7.2075447;8.76696040;2.9609053;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.18419639;NA;NA;9.5953390
Steensberg et al. (2001);-0.4541771;0.10210614;0.3195405;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
